"ContributorID","GivenName","LastName","orcid","Frequency"
"http://data.globalchange.gov/person/10734","Denise L.","Mauzerall","0000-0003-3479-1798",2
"http://data.globalchange.gov/person/5570","Karina J.","Nielsen","0000-0002-7438-0240",2
"http://data.globalchange.gov/person/5819","Matthew","Huber","0000-0002-2771-9977",2
"http://data.globalchange.gov/person/6698","Susan I.","Stewart","0000-0003-1965-4728",2
"http://data.globalchange.gov/person/6776","Philip","Loring","0000-0001-6039-2331",2
"http://data.globalchange.gov/person/3284","Mike","Hulme","0000-0002-1273-7662",2
"http://data.globalchange.gov/person/7591","Molly","Brown","0000-0001-7384-3314",2
"http://data.globalchange.gov/person/5362","Scott","Goetz","0000-0002-6326-4308",2
"http://data.globalchange.gov/person/7339","Thomas","Kolb","0000-0002-3829-4265",2
"http://data.globalchange.gov/person/5715","David G.","Williams","0000-0003-3627-5260",2
"http://data.globalchange.gov/person/7428","William","Fisk","0000-0002-5239-3542",2
"http://data.globalchange.gov/person/1934","Clifford S.","Duke","0000-0002-8041-4267",2
"http://data.globalchange.gov/person/9217","Kathleen C.","Weathers","0000-0002-3575-6508",2
"http://data.globalchange.gov/person/7921","Jan","Lenaerts","0000-0003-4309-4011",2
"http://data.globalchange.gov/person/4075","Antony J.","Payne","0000-0001-8825-8425",2
"http://data.globalchange.gov/person/5294","Eric","Rignot","0000-0002-3366-0481",2
"http://data.globalchange.gov/person/2747","Ernst J.","O. Schrama","0000-0002-9654-4082",2
"http://data.globalchange.gov/person/2686","Duncan J.","Wingham","0000-0003-2172-0544",2
"http://data.globalchange.gov/person/2963","Curt","Storlazzi","0000-0001-8057-4490",2
"http://data.globalchange.gov/person/2993","Ed","Hawkins","0000-0001-9477-3677",2
"http://data.globalchange.gov/person/8273","Sue","Grimmond","0000-0002-3166-9415",2
"http://data.globalchange.gov/person/8674","Peter","Adams","0000-0003-0041-058X",2
"http://data.globalchange.gov/person/7634","David","Obura","0000-0003-2256-6649",2
"http://data.globalchange.gov/person/6981","Lorenzo","Alvarez-Filip","0000-0002-5726-7238",2
"http://data.globalchange.gov/person/8047","Nicholas L.","Rodenhouse","0000-0002-1291-1499",2
"http://data.globalchange.gov/person/8995","Paul J.","Hanson","0000-0001-7293-3561",2
"http://data.globalchange.gov/person/3183","William D.","Bowman","0000-0003-0158-4039",2
"http://data.globalchange.gov/person/6588","Lingli","Liu","0000-0002-5696-3151",2
"http://data.globalchange.gov/person/9126","Shuhua","Yi","0000-0003-4932-8237",2
"http://data.globalchange.gov/person/2282","Philip","Fay","0000-0002-8291-6316",2
"http://data.globalchange.gov/person/8416","Ben","Marzeion","0000-0002-6185-3539",2
"http://data.globalchange.gov/person/995","Diana","Liverman","0000-0002-3671-1491",2
"http://data.globalchange.gov/person/8876","Thierry M.","Work","0000-0002-4426-9090",2
"http://data.globalchange.gov/person/3172","Emily","Bernhardt","0000-0003-3031-621X",2
"http://data.globalchange.gov/person/3749","Neal","Fann","0000-0002-6724-8575",2
"http://data.globalchange.gov/person/2051","Sang-Ki","Lee","0000-0002-4047-3545",2
"http://data.globalchange.gov/person/925","Mary","Hayden","0000-0002-0381-9615",2
"http://data.globalchange.gov/person/7488","Matthew","Therrell","0000-0002-9174-6005",2
"http://data.globalchange.gov/person/1672","David","Keith","0000-0002-8224-3780",2
"http://data.globalchange.gov/person/8615","Erin","Lipp","0000-0002-8066-0636",2
"http://data.globalchange.gov/person/7751","Ricardo","Trigo","0000-0002-4183-9852",2
"http://data.globalchange.gov/person/7750","David","Barriopedro","0000-0001-6476-944X",2
"http://data.globalchange.gov/person/8877","Jean C.","Kenyon","0000-0001-7682-475X",2
"http://data.globalchange.gov/person/9253","Luke","Miller","0000-0002-2009-6981",2
"http://data.globalchange.gov/person/874","Nancy B.","Grimm","0000-0001-9374-660X",2
"http://data.globalchange.gov/person/9287","Josh P.","Schimel","0000-0002-1022-6623",2
"http://data.globalchange.gov/person/4275","Andreas","Fangmeier","0000-0003-3794-9466",2
"http://data.globalchange.gov/person/6940","Joan","Brunkard","0000-0001-5270-2627",2
"http://data.globalchange.gov/person/8986","Robert","Costanza","0000-0001-6348-8734",2
"http://data.globalchange.gov/person/1014","Kathleen","White","0000-0001-9668-0562",2
"http://data.globalchange.gov/person/4586","Colin D.","Butler","0000-0002-2942-5294",2
"http://data.globalchange.gov/person/3162","Neil D.","Bettez","0000-0002-6859-8083",2
"http://data.globalchange.gov/person/3202","Amanda H.","Lynch","0000-0003-2990-1016",2
"http://data.globalchange.gov/person/3352","Patrick","Keys","0000-0002-7250-1563",2
"http://data.globalchange.gov/person/3353","Derek","Booth","0000-0002-5242-4089",2
"http://data.globalchange.gov/person/4068","Polly J.","Ericksen","0000-0002-5775-7691",2
"http://data.globalchange.gov/person/5899","Joaquin A.","Trinanes","0000-0003-1529-3371",2
"http://data.globalchange.gov/person/4157","Ted","Hogg","0000-0002-6198-0124",2
"http://data.globalchange.gov/person/8213","Marie-France","Loutre","0000-0001-6944-4038",2
"http://data.globalchange.gov/person/5048","Alexey","Mishonov","0000-0002-2958-8747",2
"http://data.globalchange.gov/person/6108","Peter E.","Levy","0000-0002-8505-1901",2
"http://data.globalchange.gov/person/6146","Jianwu","Tang","0000-0003-2498-9012",2
"http://data.globalchange.gov/person/5135","Henry D.","Adams","0000-0002-6403-5304",2
"http://data.globalchange.gov/person/6768","Chris B.","Zou","0000-0003-0080-2866",2
