"dataset","instrument_instance"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_3month_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_annual_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_monthly_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_daily_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_monthly_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_navoceano_l2_9km_mcsst_gac","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_8day_daytime_v51","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_8day_nighttime_v51","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_annual_daytime_v51","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_annual_nighttime_v51","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_daily_daytime_v51","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_daily_nighttime_v5","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_monthly_daytime_v5","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_monthly_nighttime_v5","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-eur-l4uhrfnd-gal-odyssea","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhfnd-ncamerica-mur","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-navo-l2p-avhrr18_l","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-navo-l4hr1m-glob-k10_sst","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-ncdc-l4lrblend-glob-avhrr_oi","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-neodaas-l2p-avhrr18_l","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
