"s","lauchDate","deactivated"
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-15",1999-12-12 00:00:00,2015-05-01 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-2",1982-12-12 00:00:00,1995-12-31 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-3",1982-12-12 00:00:00,1995-12-31 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-11",1988-09-24 00:00:00,2004-09-30 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-9",1984-12-12 00:00:00,1997-12-31 00:00:00
"http://data.globalchange.gov/platform/tiros-n",1978-10-13 00:00:00,1981-02-27 00:00:00
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-9",1988-02-01 00:00:00,1991-02-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-13",2006-05-24 00:00:00,2015-06-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-15",2010-03-04 00:00:00,2017-01-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-2",1984-02-26 00:00:00,1989-01-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-4",1984-02-26 00:00:00,1989-01-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-6",1984-02-26 00:00:00,1989-01-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-7",1987-02-26 00:00:00,1995-01-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-8",1994-04-13 00:00:00,2003-01-04 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-9",1995-05-23 00:00:00,2005-01-15 00:00:00
"http://data.globalchange.gov/platform/fy-1d-polar-orbiting-meteorological-satellite",2002-05-15 00:00:00,2012-06-01 00:00:00
"http://data.globalchange.gov/platform/fy-2a-geostationary-meteorological-satellite",1997-06-10 00:00:00,2000-06-10 00:00:00
"http://data.globalchange.gov/platform/fy-2b-geostationary-meteorological-satellite",2000-06-25 00:00:00,2003-06-30 00:00:00
"http://data.globalchange.gov/platform/beijing-1-small-satellite",2005-10-27 00:00:00,2010-10-27 00:00:00
"http://data.globalchange.gov/platform/fy-2f-geostationary-meteorological-satellite",2012-01-13 00:00:00,2016-12-01 00:00:00
"http://data.globalchange.gov/platform/fy-3a-polar-orbiting-meteorological-satellite",2008-05-27 00:00:00,2014-12-01 00:00:00
"http://data.globalchange.gov/platform/sich-2",2011-08-17 00:00:00,2015-08-01 00:00:00
"http://data.globalchange.gov/platform/nigeriasat-2",2011-08-17 00:00:00,2018-08-01 00:00:00
"http://data.globalchange.gov/platform/automatic-identification-system-satellite-2",2014-07-08 00:00:00,2017-06-01 00:00:00
"http://data.globalchange.gov/platform/resource-satellite-first-series-number-3",1994-11-04 00:00:00,1996-01-01 00:00:00
"http://data.globalchange.gov/platform/environmental-satellite-resurs-p-n1",2013-06-25 00:00:00,2018-06-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-meteorological-satellite",2011-01-20 00:00:00,2021-01-01 00:00:00
"http://data.globalchange.gov/platform/environmental-satellite-kanopus-v",2012-07-22 00:00:00,2017-07-01 00:00:00
"http://data.globalchange.gov/platform/meteor-3m-n1",2001-12-10 00:00:00,2005-12-31 00:00:00
"http://data.globalchange.gov/platform/vulkan-kompas-2",2005-01-01 00:00:00,2006-12-31 00:00:00
"http://data.globalchange.gov/platform/ocean-01",1994-10-11 00:00:00,1996-01-01 00:00:00
"http://data.globalchange.gov/platform/priroda",1996-01-01 00:00:00,1999-01-01 00:00:00
"http://data.globalchange.gov/platform/resource-satellite-first-series-number-2",1988-01-01 00:00:00,1994-01-01 00:00:00
"http://data.globalchange.gov/platform/baumanets",2005-12-05 00:00:00,2006-12-31 00:00:00
"http://data.globalchange.gov/platform/belka",2006-01-01 00:00:00,2006-01-01 00:00:00
"http://data.globalchange.gov/platform/rasat-remote-sensing-satellite",2011-08-17 00:00:00,2015-08-01 00:00:00
"http://data.globalchange.gov/platform/bilsat-research-satellite",2003-09-01 00:00:00,2006-08-01 00:00:00
"http://data.globalchange.gov/platform/sumbandila-satellite",2009-09-18 00:00:00,2012-01-24 00:00:00
"http://data.globalchange.gov/platform/sunsat",1999-02-23 00:00:00,2001-01-19 00:00:00
"http://data.globalchange.gov/platform/china-brazil-earth-resources-satellite-4",2014-12-06 00:00:00,2017-12-01 00:00:00
"http://data.globalchange.gov/platform/jason-1",2001-12-09 00:00:00,2013-07-03 00:00:00
"http://data.globalchange.gov/platform/vnredsat-1",2013-05-07 00:00:00,2018-07-01 00:00:00
"http://data.globalchange.gov/platform/earths-magnetic-field-and-environment-explorers",2013-11-22 00:00:00,2016-11-01 00:00:00
"http://data.globalchange.gov/platform/scisat-i-ace",2003-08-12 00:00:00,2015-03-01 00:00:00
"http://data.globalchange.gov/platform/cloudsat",2006-04-28 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/odin",2001-02-20 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/satellite-pour-lobservation-de-la-terre-1",1986-02-22 00:00:00,2001-12-31 00:00:00
"http://data.globalchange.gov/platform/satellite-with-argos-and-altika",2012-02-25 00:00:00,2015-02-01 00:00:00
"http://data.globalchange.gov/platform/detection-of-electro-magnetic-emissions-transmitted-from-earthquake-regions",2004-06-29 00:00:00,2010-12-10 00:00:00
"http://data.globalchange.gov/platform/polarization-and-anisotropy-of-reflectances-for-atmospheric-science-coupled-with-observations-from-a-lidar",2004-12-18 00:00:00,2013-10-11 00:00:00
"http://data.globalchange.gov/platform/advanced-earth-observing-satellite-ii",2002-11-01 00:00:00,2003-10-24 00:00:00
"http://data.globalchange.gov/platform/cloud-aerosol-lidar-and-infrared-pathfinder-satellite-observations",2006-04-28 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/meteorological-operational-polar-satellite-a",2006-10-19 00:00:00,2018-08-01 00:00:00
"http://data.globalchange.gov/platform/sj-9a",2012-10-14 00:00:00,2015-09-01 00:00:00
"http://data.globalchange.gov/platform/sj-9b",2012-10-14 00:00:00,2015-09-01 00:00:00
"http://data.globalchange.gov/platform/china-brazil-earth-resources-satellite-1",1999-10-14 00:00:00,2003-10-12 00:00:00
"http://data.globalchange.gov/platform/china-brazil-earth-resources-satellite-2",2003-10-21 00:00:00,2009-01-10 00:00:00
"http://data.globalchange.gov/platform/disaster-and-environment-monitoring-and-forecast-small-satellite-constellation-a",2008-09-06 00:00:00,2014-12-01 00:00:00
"http://data.globalchange.gov/platform/disaster-and-environment-monitoring-and-forecast-small-satellite-constellation-b",2008-09-06 00:00:00,2014-12-01 00:00:00
"http://data.globalchange.gov/platform/disaster-and-environment-monitoring-and-forecast-small-satellite-constellation-c",2012-11-19 00:00:00,2014-12-01 00:00:00
"http://data.globalchange.gov/platform/ocean-color-satellite-b",2007-04-11 00:00:00,2011-04-11 00:00:00
"http://data.globalchange.gov/platform/ocean-dynamics-satellite-a",2011-08-16 00:00:00,2014-12-01 00:00:00
"http://data.globalchange.gov/platform/sac-d-aquarius",2011-06-10 00:00:00,2017-06-01 00:00:00
"http://data.globalchange.gov/platform/meteosat-second-generation-3",2012-07-05 00:00:00,2022-06-01 00:00:00
"http://data.globalchange.gov/platform/meteosat-second-generation-1",2002-08-22 00:00:00,2019-12-01 00:00:00
"http://data.globalchange.gov/platform/cryosat-2-earth-explorer-opportunity-mission",2010-04-08 00:00:00,2015-09-01 00:00:00
"http://data.globalchange.gov/platform/environmental-satellite",2002-03-01 00:00:00,2012-04-08 00:00:00
"http://data.globalchange.gov/platform/project-for-on-board-autonomy",2001-10-22 00:00:00,2014-12-01 00:00:00
"http://data.globalchange.gov/platform/meteosat-2",1981-01-01 00:00:00,1993-01-01 00:00:00
"http://data.globalchange.gov/platform/meteosat-3",1988-01-01 00:00:00,1995-01-01 00:00:00
"http://data.globalchange.gov/platform/aura",2004-07-15 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/thailand-earth-observation-system",2008-10-01 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/radar-imaging-satellite",2012-04-26 00:00:00,2017-04-01 00:00:00
"http://data.globalchange.gov/platform/cartography-satellite-2a",2008-04-28 00:00:00,2016-04-01 00:00:00
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-1d",1997-09-29 00:00:00,2010-01-02 00:00:00
"http://data.globalchange.gov/platform/data-collecting-satellite-1",1993-02-09 00:00:00,2014-12-01 00:00:00
"http://data.globalchange.gov/platform/advanced-land-observing-satellite",2006-01-24 00:00:00,2011-04-22 00:00:00
